,name,price,deskripsi,isi_deksripsi
20,Everwhite Brightening Essence Serum 15 ml,Rp147.300 - Rp159.000,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Botol @ 15 ml**None
21,Everwhite Chromabright Brightening Essence Serum 20 ml,Rp114.000 - Rp136.500,Golongan Produk**Kemasan**Manufaktur,"Produk Konsumen**Dus, Botol @ 20 ml**Pillars Cosmetiklon Indonesia"
22,Everwhite Peptide Anti Aging Serum 15 ml,Rp139.700,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Everwhite Peptide Anti Aging Serum 15 ml merupakan serum yang diperkaya dengan kandungan Matrixyl?3000 Peptide yang efektif untuk membantu menyamarkan kerutan & garis halus pada wajah, serta meningkatkan kekenyalan kulit. Kandungan Hyaluronate dapat membantu merawat kehalusan dan kelembutan kulit. Sedangkan Niacinamide dapat membantu mencerahkan kulit yang kusam.**Membantu menyamarkan kerutan dan garis halus pada wajah, serta membantu meningkatkan kekenyalan kulit.**Matrixyl 3000 Peptide, Hyaluronate, Collagen, Niacinamide, Beta glucan, Licorice extract.**2 x Sehari 2-3 tetes**Gunakan pagi dan malam hari pada kulit wajah yang telah dibersihkan.**Produk Konsumen**Dus, Botol @15 ml**Pillars Cosmetiklon Indonesia**BPOM : NA18202000042"
23,Evian Water Spray 150 ml,Rp148.800 - Rp271.700,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"EVIAN WATER SPRAY 150 ML merupakan facial spray yang mengandung Aqua (water), Nitrogen dan Mineral-mineral yang dibutuhkan oleh kulit. Evian digunakan untuk mengurangi dehidrasi pada kulit wajah yang bermake-up, membantu memperbaiki makeup, dan memberikan kesegaran kembali pada kulit wajah**Manfaat utamanya adalah dapat membantu memberikan kesegaran pada kulit dan wajah dari terik panas dan kering di ruangan AC Selain itu juga memberikan kelembutan bagi kulit membantu mempertahankan make up lebih lama disemprotkan sebelum make up**Pure Natural evian Mineral Water Propelled by safe nitrogen the air we breathe is 80 percent nitrogen with a neutral 72 ph**Sesuai kebutuhan**Semprotkan ke wajah anda sebelum mengaplikasikan pelembab Dapat disemprotkan kembali untuk menyegarkan dan mencerahkan wajah**Jangan terkena mata dan jangan dihirup. Awas! Isi bertekanan tinggi dan dapat meledak di atas suhu 50 C. Jangan ditusuk, jangan disimpan ditempat panas atau dekat api. Dan jangan dibuang di tempat pembakaran sampah**-**-**Produk Konsumen**Botol @ 150 ml**Natural Nutrindo**BPOM: NC14130102800"
24,Evian Water Spray 50 ml,Rp68.200 - Rp185.100,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur,"-**Manfaat utamanya adalah dapat membantu memberikan kesegaran pada kulit dan wajah dari terik panas dan kering di ruangan AC Selain itu juga memberikan kelembutan bagi kulit membantu mempertahankan make up lebih lama disemprotkan sebelum make up**Pure Natural evian Mineral Water Propelled by safe nitrogen the air we breathe is 80 percent nitrogen with a neutral 72 ph**Sesuai kebutuhan**Gunakan beberapa kali dalam sehari semprotkan secara melingkar ke bagian wajah tubuh yang membutuhkan dengan jarak 30cm dari permukaan kulit tunggu beberapa saat sampai meresap Jauhkan dari paparan sinar matahari secara langsung jangan disimpan pada suhu 50C jangan dibakar atau ditusuk bahkan setelah pemakaian Gunakan sebelum lihat di bawah kemasan**Jangan sampai kena mata dan jangna dihirup. Awas! Isi bertekanan tinggi dan dapat meledak di atas suhu 50 ' C. Jangan ditusuk, jangan disimpan ditempat panas atau dekat api. Dan jangan dibuang di tempat pembakaran sampah**-**-**Produk Konsumen**Botol Spray @ 50 ml**Natural Nutrindo"
25,Face 2 Face Skin Renewal Facial Wash 100 ml,Rp27.300 - Rp29.200,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Botol @ 100 ml**None
26,Felinz Eye Pad Collagen Mask 10 Sheets,Rp61.000 - Rp69.000,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Sachet @ 10 ml**Cakra Daya Makmur
27,Felinz Lip Mask,Rp26.500 - Rp32.000,Deskripsi**Indikasi Umum**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur,"Felinz Lip Mask, Mengandung Aloe Vera yang bermanfaat untuk mengatasi bibir hitam. Mengandung Ekstrak Chamomille yang dipercaya dapat mengangkat kotoran dan membuat bibir terlihat bersih dan segar. Serta mengandung Olive Oil yang mengandung asam oleat yang dapat membantu mengenyalkan kulit bibir dan melindungi elastisitas kulit bibir dari kerusakan.**Sebagai masker untuk bibir yang bermanfaat untuk mengatasi bibir hitam.**Bersihkan bibirmu , buka lapisan pada kedua bagian lembaran masker , tempelkan pada bagian bawah dan atas bibir , angkat masker setelah 20-30 menit , tepuk perlahan dengan jari hingga selesai.**Produk Konsumen**Sachet 2 pieces**Cakra Daya Makmur"
28,Felinz Lip Scrub Cherry Kiss 5 g,Rp26.000 - Rp34.000,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Pot @ 5 G**Cakra Daya Makmur
29,Felinz Lip Scrub Fortifying Apple 10 g,Rp36.500 - Rp43.000,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Pot @ 10 g**Cakra Daya Makmur
30,Felinz Rejuvenating Bio Cellulose Eye Mask 1 Sheet,Rp43.000,Deskripsi**Indikasi Umum**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"FELINZ REJUVENATING BIO CELLULOSE EYE MASK merupakan produk perawatan kulit sekitar mata dengan kandungan serum brightening dan milk protein. Kandungan masker mata pada produk ini memberi manfaat mencerahkan area mata, menyamarkan kantung mata dan lingkaran hitam sehingga kulit di sekitar mata lebih cerah dan segar.**Masker mata yang digunakan untuk mencerahkan area mata**Gunakan pada kulit yang bersih dan pastikan masker di basahi dengan sempurna. Pasangkan masker dengan ujung yang lebar pada sudut mata bagian luar. Diamkan selama 20 menit angkat masker dan tepuk ringan agar serum menyerap kedalam kulit. Gunakan 2 kali dalam seminggu.**Produk Konsumen**Sachet 1 sheet**Cakra Daya Makmur**BPOM: NA18180201460"
31,Freeman Feeling Beautiful Anti-Stress Dead Sea Minerals Clay Mask 175 ml,Rp57.700 - Rp127.000,Indikasi Umum**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur,"Masker yang membantu mengisi kembali, menyeimbangkan kelembaban, serta membersihkan pori-pori yang tersumbat pada kulit. Kandungan Lavender dan Bergamot membantu menghilangkan stres pada kulit sehingga kulit halus dan bercahaya. Produk ini cocok untuk semua tipe kulit.**1) Bersihkan wajah terlebih dahulu, lalu keringkan. 2) Oleskan mask kemudian biarkan selama 10-15 menit. 3) Bilas wajah dengan air hangat hingga bersih.**Produk Konsumen**Tube @ 175 ml**None"
32,Wardah Renew You Anti Aging Day Cream 30 g,Rp85.300 - Rp132.200,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Pot 30 g**Paragon Technology and Innovation
33,Fresh Living Steam Eye Mask Lavender,Rp9.700 - Rp18.700,Deskripsi**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur,"FreshLiving Eye Mask, masker mata yang dapat merilekskan dan menyegarkan mata yang lelah akibat sering terpapar monitor/ gadget. Dengan teknologi uap hangat hingga 40?C, FreshLiving Eye Mask memberikan sensasi spa mata yang dapat mengurangi ketegangan pada area mata. Cocok digunakan sebelum tidur, saat perjalanan (travelling), atau saat mata terasa pegal dan lelah akibat bekerja/ belajar di depan monitor.**1. Keluarkan eye mask dari kemasan. Eye Mask akan menjadi hangat setelah dibuka. 2. Sobek mengikuti garis perforasi, lalu kaitkan ear strap pada telinga. 3. Santai dan nikmati sensasi kehangatan pada mata.**Produk Konsumen**1 Sachet**Ultrasakti"
34,Garnier Bright Complete Bright Up Serum Mask,Rp23.000 - Rp31.500,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Sachet @ 28 g**Garnier
